S01: 7531,3819,-14897,34,-68,-9,-135,1,177.
S01: 7629,3785,-15146,-17,39,-45,-71,-31,191.
S01: 7299,3817,-14779,-10,56,-10,-87,17,193.
S01: 7508,3853,-14853,24,-44,28,-127,-7,177.
S01: 7260,3810,-14659,-12,50,-25,-47,-7,183.
S01: 7435,4019,-14836,17,-53,29,-103,-15,207.
S01: 7324,3793,-14916,-17,44,0,-135,-47,181.
S01: 7347,3827,-14746,2,13,10,-103,9,195.
S01: 7515,3792,-14924,14,0,10,-111,-55,181.
S01: 7389,3742,-14915,-17,23,-13,-111,-15,163.
S01: 7543,3823,-14971,9,-29,15,-111,-31,175.
S01: 7459,3849,-14943,-9,30,-22,-103,-7,173.
S01: 7330,3857,-14828,18,-13,7,-111,-23,179.
S01: 7391,3833,-15007,6,6,-8,-87,-7,173.
S01: 7452,3764,-14942,-14,27,-1,-95,-15,189.
S01: 7374,3848,-15028,14,-12,3,-47,1,189.
S01: 7577,3804,-14992,-3,22,-8,-71,1,191.
S01: 7410,3726,-14807,11,6,10,-119,-15,187.
S01: 7399,3762,-15017,1,13,-6,-103,1,183.
S01: 7496,3905,-14905,-6,9,1,-79,17,195.
S01: 7470,3847,-14876,10,-3,11,-79,-15,171.
S01: 7379,3731,-14883,-2,26,-4,-87,-55,163.
S01: 7466,3625,-14884,13,0,-5,-63,-39,169.
S01: 7518,3874,-15126,-1,18,-11,-87,1,177.
S01: 6034,3458,-14643,5,-17,-40,-95,-15,187.
S01: 8836,4893,-13963,139,-66,2,-135,-23,195.
S01: 7106,4074,-14113,-40,246,27,-95,-31,185.
S01: 7493,3928,-15118,-18,19,-48,-111,1,181.
S01: 7375,3596,-15313,95,-166,64,-55,25,189.
S01: 7454,3911,-14605,-67,181,-48,-111,-15,187.
S01: 7265,3523,-14912,80,-127,38,-71,1,179.
S01: 7149,4227,-15128,-5,-11,-2,-87,-31,197.
S01: 7545,3696,-14831,-1,23,23,-127,-7,163.
S01: 7421,3511,-15039,32,-19,6,-87,-55,183.
S01: 7435,3579,-14785,-8,20,-5,-127,-15,183.
S01: 7435,3716,-14886,-7,-13,20,-103,25,173.
S01: 7457,3781,-15078,8,-4,-4,-119,17,169.
S01: 7396,3624,-14749,4,9,-7,-87,-23,199.
S01: 7310,3794,-14880,6,-12,24,-127,-15,191.
S01: 7564,3680,-14915,5,8,-14,-87,-55,189.
S01: 7468,3713,-14803,5,-11,-4,-111,-7,195.
S01: 7512,3700,-15084,-1,2,4,-63,-47,197.
S01: 7427,3703,-14895,5,10,-13,-119,17,155.
S01: 7531,3723,-14830,11,1,-5,-63,-15,187.
S01: 7609,3658,-14811,5,7,-3,-103,-23,197.
S01: 7461,3651,-14879,5,0,1,-103,1,175.
S01: 7394,3739,-15113,1,0,-3,-111,-23,173.
S01: 7398,3649,-14884,-7,3,9,-71,1,201.
S01: 7557,3699,-14982,6,-2,-4,-103,-15,171.
S01: 7612,3649,-14923,3,3,0,-95,-7,175.
S01: 7381,3742,-14813,-4,1,-1,-87,-39,167.
S01: 7491,3729,-14985,4,10,-2,-103,-23,199.
S01: 7532,3714,-14939,10,4,0,-63,1,195.
S01: 7411,3660,-14868,-1,-6,2,-79,1,195.
S01: 7552,3698,-14741,0,-3,-3,-111,-15,177.
S01: 7615,3770,-14854,9,-6,-14,-95,-7,181.
S01: 7525,3676,-14868,-7,8,5,-79,25,175.
S01: 7577,3558,-14916,-3,0,-3,-95,17,195.
S01: 7444,3602,-14827,4,-1,-2,-103,9,199.
S01: 7388,3640,-14984,5,1,-2,-71,-39,187.
S01: 7430,3762,-15056,2,8,-7,-95,-31,191.
S01: 7527,3675,-15123,2,0,-1,-79,-39,197.
S01: 7452,3668,-14446,-33,7,-21,-87,-31,189.
S01: 7362,3769,-14827,22,-27,7,-103,-39,169.
S01: 7402,3548,-14975,-3,-22,0,-63,-47,171.
S01: 19664,5559,-12709,-170,154,1036,-71,-39,185.
S01: 7558,3260,-13733,409,-368,26,-103,-47,187.
S01: 14901,13018,-2008,1098,-811,-810,-87,17,187.
S01: 6691,3458,-20819,-892,340,852,-71,-47,175.
S01: 13683,4186,-19607,208,873,-1812,-143,-7,189.
S01: 8651,2636,-15258,-12,-439,146,-135,-23,193.
S01: 6913,4062,-14042,25,-23,-184,-87,-31,191.
S01: 5293,2663,-11434,-284,379,-274,-135,-7,183.
S01: 7033,4652,-15700,134,-727,185,-71,-23,189.
S01: 10043,3284,-18356,-46,372,40,-111,-23,203.
S01: 327,7364,-14326,-358,1133,-527,-103,-7,185.
S01: 26955,3681,-29454,-443,1552,3298,-79,-7,205.
S01: 10841,-351,-12845,343,-660,291,-95,-31,185.
S01: -2376,1613,-16136,235,-286,729,-119,-31,173.
S01: -1216,2964,11754,-758,4846,2961,-71,-103,193.
S01: 150,-5193,-22056,416,1829,312,-55,-79,169.
S01: 11466,-1253,-19844,1356,571,1490,-111,-167,189.
S01: 2632,-4349,-12132,408,-46,1636,-79,-119,169.
S01: 12301,-318,-11445,804,-253,637,-95,-183,157.
S01: 9711,-2480,-12064,802,1508,1833,-7,-151,151.
S01: 9014,-5690,-12500,751,-1201,274,-15,-103,173.
S01: 9865,-2657,-9067,695,639,875,-15,-103,159.
S01: 6821,-7933,-6276,580,-825,-291,-39,-63,151.
S01: 7556,-4866,-8211,1354,1744,706,1,-95,169.
S01: 9338,-7024,-13476,1194,-1147,-1228,-55,-31,143.
S01: 7113,-8420,-7582,403,1721,77,-47,-15,143.
S01: 20249,-2957,-5681,1988,779,-598,-15,41,157.
S01: 7948,-5417,-2504,1247,372,-158,-7,65,125.
S01: 6153,-5569,-8027,281,-494,-1364,-95,121,147.
S01: 15440,-3476,-14260,-481,726,-356,-119,113,157.
S01: 22847,-3884,12399,-536,-2065,-1040,-63,169,135.
S01: -446,4313,-9832,-1119,84,150,-87,113,147.
S01: 21761,-1428,-16475,1212,579,-137,-47,137,137.
S01: -180,-10620,-8394,519,1027,341,-63,137,127.
S01: 8864,-6951,-13344,-98,902,100,-31,153,125.
S01: 24283,-1512,-11059,512,1079,510,-111,169,145.
S01: 10226,-10675,-14741,-247,-577,-465,-119,193,151.
S01: 12829,-7555,-11997,65,-171,102,-95,169,129.
S01: 11236,-7518,-8158,334,248,801,-47,153,143.
S01: 2913,-8991,-10054,-657,-659,-1260,-47,161,127.
S01: 18898,-2316,-9566,-474,-460,-1090,-79,193,117.
S01: 3625,-4235,-1354,-1076,366,-582,-95,161,127.
S01: 16677,-928,-15972,-1451,-877,-1655,-111,145,139.
S01: 8295,-1789,-10971,-484,438,68,-143,161,157.
S01: 3738,-6236,-10726,-113,-361,-453,-159,177,149.
S01: 15253,450,-7346,218,1662,997,-183,145,139.
S01: 8787,-3946,-10425,-53,-549,-386,-207,121,139.
S01: 12024,-3823,-12611,99,-25,155,-143,137,145.
S01: 11824,-2933,-10493,-310,82,-162,-175,145,143.
S01: 10171,-2820,-12903,-84,187,132,-135,137,151.
S01: 12838,-2132,-12728,123,-31,46,-151,121,153.
S01: 14323,-2501,-11513,133,232,341,-143,145,135.
S01: 10580,-2894,-12398,180,1077,931,-143,145,163.
S01: 13569,-4214,-12612,276,-562,68,-127,161,157.
S01: 12399,-3604,-10020,247,244,1031,-151,145,127.
S01: 11718,-4892,-13565,597,-250,1056,-111,137,149.
S01: 8084,-5712,-13019,699,266,746,-135,105,111.
S01: 9175,-5026,478,-142,-800,-316,-95,105,133.
S01: 13716,-4074,-7859,35,820,462,-63,161,145.
S01: 7425,-7301,-10034,-122,253,-303,-55,121,125.
S01: 15819,-4791,-12622,574,774,394,-95,161,133.
S01: 6492,-9518,-8717,1059,525,1002,-103,121,133.
S01: 4127,-13204,-15309,1411,245,569,-79,153,155.
S01: 8522,-8379,-6326,1365,1115,694,-55,185,127.
