123.
S01: 4114,5048,-15846,-1,-4,-3,-1135,1153,109.
S01: 4118,5105,-15732,0,-17,1,-1151,1145,99.
S01: 4140,5053,-15788,-3,-27,1,-1143,1153,113.
S01: 4087,5012,-15646,4,-17,6,-1103,1153,107.
S01: 4215,4946,-15870,2,-17,2,-1095,1177,115.
S01: 4289,5129,-15690,-17,-7,-4,-1143,1161,85.
S01: 3995,5055,-15673,-1,-17,2,-1183,1193,127.
S01: 4199,5086,-15685,0,-9,-1,-1127,1193,115.
S01: 4190,5111,-15884,1,-16,-4,-1119,1137,115.
S01: 4013,5035,-15840,-2,-5,-1,-1119,1201,107.
S01: 4167,5233,-15666,-13,-8,0,-1175,1225,107.
S01: 4211,5140,-15904,3,-19,-2,-1167,1145,117.
S01: 4239,4942,S01: 4073,4969,-15949,1,-7,4,-1103,1161,121.
S01: 4052,5074,-15815,-3,-7,5,-1071,1153,121.
S01: 4218,5087,-15746,-2,-13,-4,-1095,1209,113.
S01: 4064,4941,-15677,1,-11,3,-1143,1129,109.
S01: 4043,4963,-15825,0,-9,2,-1119,1169,103.
S01: 4083,5083,-15768,3,-3,-1,-1159,1161,109.
S01: 4288,5076,-15986,1,-13,10,-1119,1153,107.
S01: 3965,5092,-15733,6,-9,11,-1119,1185,123.
S01: 4147,4984,-15627,3,-9,-1,-1151,1121,123.
S01: 4106,5047,-15784,0,-9,8,-1103,1145,115.
S01: 4154,5050,-15699,4,-14,5,-1111,1169,129.
S01: 4126,5067,-15905,3,-6,3,-1103,1185,129.
S01: 4323,5065,-15781,-6,-9,5,-1095,1137,111.
S01: 4100,5096,-15729,7,-7,8,-1119,1177,113.
S01: 4172,4980,-15896,-2,-13,10,-1143,1145,117.
S01: 4070,5068,-15789,-9,-6,-1,-1151,1121,101.
S01: 4069,4945,-15848,-4,3,11,-1119,1169,107.
S01: 3977,4948,-15857,-1,1,9,-1135,1161,117.
S01: 4102,4931,-15856,-1,-1,8,-1103,1145,103.
S01: 4228,5109,-15766,-2,-7,9,-1167,1153,143.
S01: 4138,5059,-15788,-1,-6,2,-1079,1169,119.
S01: 3943,5089,-15708,9,-7,4,-1103,1201,103.
S01: 4085,4983,-15814,-3,-13,-2,-1103,1177,115.
S01: 4152,4947,-15816,6,-9,4,-1127,1137,109.
S01: 4030,5059,-15732,-10,-6,8,-1143,1129,113.
S01: 4075,4944,-15851,-4,-11,-3,-1127,1169,109.
S01: 4061,4900,-15804,-4,-21,6,-1103,1161,117.
S01: 3939,5051,-15833,-6,-8,4,-1111,1137,107.
S01: 4109,4955,-15792,-4,-8,10,-1167,1113,117.
S01: 3917,5004,-15912,4,-5,16,-1135,1137,125.
S01: 4105,4994,-15772,-6,-2,16,-1103,1169,121.
S01: 4042,5115,-15905,-1,1,11,-1103,1185,103.
S01: 3995,5187,-15704,-1,-5,6,-1119,1153,105.
S01: 3923,5126,-15823,1,-2,9,-1127,1161,97.
S01: 4001,5058,-15765,0,-2,17,-1167,1137,115.
S01: 4170,4943,-15952,1,-5,8,-1103,1209,109.
S01: 4107,4994,-15852,3,-6,2,-1071,1177,97.
S01: 3924,5066,-15796,-8,-10,10,-1151,1153,101.
S01: 4200,5027,-15641,0,-12,7,-1119,1161,107.
S01: 4114,4976,-15844,8,-12,10,-1087,1161,123.
S01: 4193,5004,-15747,-2,-6,10,-1119,1121,117.
S01: 4105,5039,-15776,-1,-16,7,-1111,1161,119.
S01: 4155,4938,-15834,-9,-4,12,-1143,1169,113.
S01: 4017,5071,-15736,3,-6,6,-1151,1153,115.
S01: 4169,5007,-15820,-1,-4,15,-1103,1153,129.
S01: 4219,4979,-15771,3,5,12,-1111,1145,127.
S01: 4185,4934,-15777,3,-5,10,-1095,1129,115.
S01: 4052,5032,-15809,0,-2,13,-1135,1121,129.
S01: 4131,5044,-15637,1,-4,8,-1135,1137,121.
S01: 4079,5039,-15768,9,-13,12,-1095,1177,103.
S01: 4158,4946,-15733,2,-3,8,-1135,1137,135.
S01: 4219,4989,-15712,-2,-5,3,-1103,1137,127.
S01: 4178,5044,-15686,1,2,13,-1151,1185,135.
S01: 4084,5066,-15656,-5,-3,15,-1151,1185,119.
S01: 4106,5091,-15725,9,-15,10,-1119,1113,117.
S01: 4064,4907,-15775,-3,3,18,-1103,1145,113.
S01: 4094,5030,-15903,-3,-1,12,-1167,1145,113.
S01: 4238,4975,-15886,-4,-5,12,-1095,1161,135.
S01: 4054,5010,-15622,2,0,10,-1127,1169,123.
S01: 4209,5072,-15933,1,-7,14,-1119,1161,121.
S01: 3966,4990,-15778,-3,-7,-1,-1087,1129,125.
S01: 4244,4937,-15908,1,-3,6,-1111,1137,111.
S01: 4193,4968,-15729,-2,-8,5,-1055,1129,121.
S01: 4033,5016,-15860,0,-1,9,-1079,1153,111.
S01: 4127,5041,-15832,5,-5,0,-1095,1161,121.
S01: 4087,5153,-15753,-2,-4,15,-1111,1177,113.
