0146,2,-16,-2,-1071,-287,41.
S01: 9185,10329,-9975,0,-5,3,-1055,-231,47.
S01: 9197,10208,-9888,6,-12,4,-1031,-279,15.
S01: 9228,10394,-10042,5,-12,-2,-1071,-255,51.
S01: 9175,10244,-9962,7,-10,1,-1055,-295,35.
S01: 9038,10282,-9867,7,-7,-2,-1095,-287,29.
S01: 9154,10288,-9918,-5,-14,8,-1015,-271,39.
S01: 9169,10437,-10006,0,-13,5,-1071,-239,3.
S01: 9218,10329,-9957,-1,-9,-1,-1079,-295,13.
S01: 9169,10266,-10233,0,-5,1,-1031,-271,25.
S01: 9200,10351,-9975,0,-7,7,-1039,-247,27.
S01: 9244,10264,-10203,3,-9,-1,-1047,-255,53.
S01: 9149,10243,-9950,5,-7,8,-1071,-303,27.
S01: 9239,10293,-10036,2S01: 9234,10283,-10041,6,-25,3,-1039,-303,19.
S01: 9364,10328,-10116,1,-20,8,-1039,-247,49.
S01: 9288,10171,-9967,1,-14,4,-999,-287,27.
S01: 9314,10320,-9824,6,-23,3,-1079,-287,47.
S01: 9300,10295,-10159,5,-24,7,-1015,-279,17.
S01: 9406,10236,-9951,9,-20,6,-1071,-287,27.
S01: 9358,10044,-10175,0,-20,9,-1039,-271,49.
S01: 9314,10169,-10202,2,-24,-4,-1015,-279,1.
S01: 9278,10326,-9908,4,-13,6,-1063,-271,11.
S01: 9246,10320,-9971,7,-26,8,-1055,-263,15.
S01: 9232,10248,-9928,4,-21,15,-1047,-271,25.
S01: 9286,10276,-10087,6,-11,4,-1063,-287,41.
S01: 9133,10332,-10020,10,-19,-8,-1063,-295,35.
S01: 9225,10285,-9844,6,-21,8,-1071,-311,33.
S01: 9293,10353,-9973,8,-26,8,-1023,-247,23.
S01: 9286,10317,-9907,4,-27,14,-1007,-287,5.
S01: 9353,10249,-10070,2,-21,18,-1023,-287,25.
S01: 9426,10288,-9866,4,-19,6,-1039,-295,3.
S01: 9231,10331,-10032,4,-31,13,-983,-311,21.
S01: 9235,10351,-9848,6,-25,8,-1063,-295,25.
S01: 9095,10342,-10076,8,-31,8,-1031,-303,27.
