S01: 4599,-444,-16347,6,-9,1,249,-199,135.
S01: 4606,-306,-16320,2,-6,-3,225,-207,143.
S01: 4528,-420,-16487,7,-8,-1,241,-183,145.
S01: 4524,-426,-16313,6,-5,6,217,-223,155.
S01: 4642,-391,-16447,0,-6,-1,225,-199,167.
S01: 4652,-488,-16298,11,-1,-8,233,-199,139.
S01: 4542,-348,-16399,0,-4,-11,249,-183,139.
S01: 4562,-423,-16389,11,-4,-2,273,-183,145.
S01: 4661,-257,-16246,0,0,5,305,-191,123.
S01: 4759,-475,-16397,-2,-6,6,241,-183,149.
S01: 4598,-307,-16331,2,-4,5,201,-167,133.
S01: 4595,-335,-16338,11,-9,4,273,-167,145.
S01: 4611,-301,-16479,1,-1,6,233,-159,131.
S01: 4619,-287,-16334,6,-4,-3,273,-199,135.
S01: 4614,-249,-16546,3,-11,-9,233,-183,145.
S01: 4635,-320,-16398,-4,-5,-1,257,-207,147.
S01: 4659,-346,-16308,-2,-5,-3,233,-191,145.
S01: 4668,-374,-16377,-4,-6,-2,281,-183,147.
S01: 4541,-511,-16697,2,-3,1,273,-223,131.
S01: 4609,-367,-16461,-1,-12,-5,225,-191,143.
S01: 4600,-420,-16342,3,-9,-2,201,-143,151.
S01: 4680,-429,-16373,1,-11,5,225,-159,141.
S01: 4683,-453,-16471,1,-4,-2,257,-175,147.
S01: 4629,-355,-16430,7,-8,-9,305,-199,149.
S01: 4602,-350,-16477,-3,-10,-8,241,-199,159.
S01: 4675,-425,-16551,4,-10,2,313,-159,155.
S01: 4610,-414,-16510,2,-6,-4,305,-199,161.
S01: 4576,-386,-16425,0,-8,4,241,-207,131.
S01: 4550,-426,-16488,1,-6,-7,257,-207,133.
S01: 4621,-295,-16574,10,-8,-5,209,-191,153.
S01: 4636,-411,-16395,4,-4,1,289,-199,149.
S01: 4556,-399,-16374,3,-2,-9,297,-207,157.
S01: 4650,-359,-16394,7,0,5,281,-167,161.
S01: 4782,-532,-16506,16,-11,4,265,-183,157.
S01: 4545,-351,-16377,2,2,3,249,-191,159.
S01: 4714,-485,-16308,1,1,5,265,-175,163.
S01: 4543,-577,-16434,7,-7,-4,249,-183,133.
S01: 4681,-395,-16370,4,-1,-3,241,-223,177.
S01: 4816,-383,-16475,-2,-5,1,233,-183,165.
S01: 4552,-422,-16412,2,-5,-4,233,-215,135.
S01: 4589,-462,-16536,-2,-16,2,241,-199,149.
S01: 4676,-497,-16616,6,-8,-4,249,-215,141.
S01: 4592,-365,-16412,4,-8,-7,257,-167,153.
S01: 4609,-415,-16456,-1,-3,0,289,-159,137.
S01: 4455,-525,-16393,2,-5,0,185,-183,143.
S01: 4571,-504,-16416,3,-13,4,281,-207,151.
S01: 4566,-428,-16464,4,-4,2,249,-199,141.
S01: 4604,-481,-16238,2,0,-2,241,-207,145.
S01: 4703,-491,-16451,13,-12,-4,289,-183,133.
S01: 4624,-358,-16381,7,-1,3,257,-191,153.
S01: 4673,-529,-16298,5,-7,-6,273,-215,151.
S01: 4584,-411,-16469,-3,2,-3,289,-183,171.
S01: 4717,-528,-16274,2,-11,0,273,-207,155.
S01: 4576,-427,-16499,6,-4,-5,249,-151,131.
S01: 4734,-516,-16315,-2,-8,-1,265,-167,155.
S01: 4646,-572,-16389,0,-8,4,289,-183,149.
S01: 4660,-539,-16414,-3,-6,0,305,-215,159.
S01: 4538,-314,-16423,5,-6,-6,233,-207,133.
S01: 4670,-369,-16381,-1,-6,1,233,-183,145.
S01: 4653,-460,-16390,7,-3,-2,225,-159,131.
S01: 4712,-350,-16534,6,-5,3,273,-215,159.
S01: 4725,-483,-16314,-1,-5,-4,257,-231,151.
S01: 4615,-508,-16469,8,-7,0,273,-183,149.
S01: 4546,-464,-16273,-7,0,-2,257,-167,159.
S01: 4755,-515,-16422,-2,-8,2,249,-199,157.
S01: 4702,-453,-16301,-3,-9,-1,265,-175,169.
S01: 4624,-481,-16369,5,-3,4,233,-175,153.
S01: 4658,-502,-16336,-3,-10,0,233,-223,149.
S01: 4573,-416,-16379,1,-3,-1,233,-191,139.
S01: 4690,-322,-16392,7,-6,1,249,-191,153.
S01: 4669,-401,-16480,2,3,-6,281,-223,161.
S01: 4601,-456,-16558,7,-3,2,249,-207,159.
S01: 4663,-494,-16615,1,-3,2,225,-159,137.
S01: 4561,-310,-16434,1,-1,-3,241,-183,149.
S01: 4654,-489,-16324,0,2,4,249,-199,157.
S01: 4701,-409,-16348,4,7,1,225,-207,131.
S01: 4674,-497,-16462,9,-7,-1,313,-191,155.
S01: 4543,-398,-16331,1,-5,0,297,-223,151.
S01: 4660,-481,-16562,5,-2,-2,225,-215,137.
S01: 4562,-494,-16540,2,-1,-3,249,-175,139.
